timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,,IdleTime,Connect,,Latency1,Latency2,Latency3
1650337180343,853,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,,0,3,,878,1176,794
1650337180182,1090,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,,0,1,,820,1141,1032
1650337180287,1093,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,,0,0,,551,873,1059
1650337180438,1034,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,,0,0,,887,863,984
1650337180616,912,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,,0,0,,1180,1034,867
1650337180681,923,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,,0,0,,1167,1060,893
1650337180672,1074,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,,0,0,,1169,995,1014
1650337180789,1068,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,,0,0,,829,1034,1040
1650337180938,1012,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,14,14,http://localhost:50001/calculationsStored,,0,0,,978,1049,943
1650337180836,1316,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,14,14,http://localhost:50001/calculationsStored,,0,0,,960,887,1272
1650337181066,1152,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,14,14,http://localhost:50001/calculationsStored,,0,0,,987,999,1103
1650337180981,1362,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,14,14,http://localhost:50001/calculationsStored,,0,0,,1448,861,1313
1650337181746,830,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,,0,0,,1137,1303,788
1650337181196,1404,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,,0,1,,1015,1161,1343
1650337181604,1159,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,,0,0,,1081,1218,1114
1650337181528,1266,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,,0,1,,1210,1163,1182
1650337181270,1540,HTTP Request,200,OK,Thread Group 3-13,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,,0,1,,987,940,1485
1650337181472,1461,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,,0,0,,1094,1085,1402
1650337181381,1592,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,,0,0,,886,1055,1483
1650337181272,1768,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,,0,0,,1069,1133,1613
1650337181858,1290,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,16,16,http://localhost:50001/calculationsStored,,0,0,,1132,1142,1261
1650337181871,1452,HTTP Request,200,OK,Thread Group 3-14,text,true,,37675170,16,16,http://localhost:50001/calculationsStored,,0,1,,1510,983,1416
1650337181950,1432,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,16,16,http://localhost:50001/calculationsStored,,0,0,,1126,1490,1394
1650337182152,1296,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,16,16,http://localhost:50001/calculationsStored,,0,0,,1056,1245,1262
1650337182576,1096,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,16,16,http://localhost:50001/calculationsStored,,0,0,,1165,1317,1041
1650337182601,1168,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,17,17,http://localhost:50001/calculationsStored,,0,0,,1117,1260,1129
1650337182218,1647,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,17,17,http://localhost:50001/calculationsStored,,0,6,,1061,1155,1603
1650337182471,1571,HTTP Request,200,OK,Thread Group 3-15,text,true,,37675170,17,17,http://localhost:50001/calculationsStored,,0,1,,1529,1364,1530
1650337182343,1854,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,17,17,http://localhost:50001/calculationsStored,,0,0,,820,1647,1823
1650337182810,1428,HTTP Request,200,OK,Thread Group 3-13,text,true,,37675170,17,17,http://localhost:50001/calculationsStored,,0,1,,1589,1089,1393
1650337183071,1376,HTTP Request,200,OK,Thread Group 3-16,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,,0,1,,1334,1378,1274
1650337182794,1731,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,,0,0,,1391,1216,1655
1650337182764,1767,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,,0,0,,1207,1522,1683
1650337182933,1608,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,,0,0,,1035,1411,1481
