timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,Latency,Latency,Latency
1650343982416,672,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,10,10,http://localhost:50001/calculationsStored,610,0,0,,610,683,644
1650343982224,920,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,885,0,0,,885,712,727
1650343982625,631,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,593,0,0,,593,615,670
1650343982578,852,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,812,0,1,,812,914,641
1650343982639,819,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,746,0,0,,746,669,836
1650343982831,682,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,652,0,0,,652,1053,863
1650343982647,1042,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,11,11,http://localhost:50001/calculationsStored,1013,0,1,,1013,927,914
1650343982957,827,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,751,0,0,,751,782,769
1650343982737,1065,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,1016,0,0,,1016,807,963
1650343983141,835,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,795,0,0,,795,627,912
1650343983245,960,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,920,0,1,,920,798,915
1650343983357,945,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,886,0,0,,886,1039,874
1650343983188,1120,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,12,12,http://localhost:50001/calculationsStored,1053,0,1,,1053,734,1183
1650343983242,1125,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,1087,0,0,,1087,844,1013
1650343983842,708,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,659,0,0,,659,1025,817
1650343983558,1033,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,938,0,0,,938,471,943
1650343983626,1042,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,894,0,0,,894,797,998
1650343983531,1161,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,1034,0,0,,1034,1159,1069
1650343984077,793,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,705,0,0,,705,911,1075
1650343983790,1082,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,13,13,http://localhost:50001/calculationsStored,1029,0,0,,1029,1480,1061
